,City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
39,Vaini,0,30,15.34,74.49,82.4,9.17
40,Leningradskiy,64,96,69.38,178.42,-4.86,17.47
41,Hualmay,36,96,-11.1,-77.61,62.65,1.81
42,Faanui,48,100,-16.48,-151.75,83.7,10.54
43,Ferkessedougou,0,36,9.6,-5.2,71.19,7.96
44,Butaritari,100,100,3.07,172.79,83.16,13.78
45,Cao Bang,68,91,22.67,106.25,58.06,5.17
46,Barrow,0,78,-38.31,-60.23,58.95,13.67
47,Dunedin,0,61,-45.87,170.5,57.06,17.25
48,Beringovskiy,80,100,63.05,179.32,4.95,5.61
49,Saskylakh,56,58,71.97,114.09,-20.43,9.31
50,Lofthus,90,92,59.95,10.8,10.9,2.26
51,Ribeira Grande,75,87,38.52,-28.7,60.8,9.17
52,Taltal,36,95,-25.41,-70.49,55.44,0.36
53,Nikolskoye,90,92,59.7,30.79,24.8,6.71
54,Puerto Ayora,92,100,-0.74,-90.35,76.5,9.64
55,Rocha,0,84,-34.48,-54.34,49.41,2.71
56,Clarence Town,90,83,-32.59,151.78,75.2,11.41
57,Praya,40,59,-8.71,116.27,91.4,8.05
58,Methoni,75,87,36.82,21.7,46.4,12.21
59,Ahipara,0,94,-35.17,173.16,62.91,6.85
60,Carauari,32,95,-4.88,-66.9,74.52,2.48
61,Kalmunai,68,75,7.42,81.82,81.81,12.44
62,Lebu,0,31,8.96,38.73,72.1,6.51
63,Nuevo Progreso,1,44,26.05,-97.95,50.92,10.29
64,Filadelfia,0,90,-22.35,-60.04,64.71,2.82
65,Katobu,20,80,-4.94,122.53,87.21,7.18
66,Tecoanapa,90,88,16.99,-99.26,77.0,3.36
67,Wairoa,0,94,-39.04,177.43,64.98,7.52
68,Esperance,20,94,10.24,-61.45,71.6,4.94
69,Luderitz,0,75,-26.65,15.16,65.89,1.14
70,Ayia Galini,20,82,35.1,24.68,54.39,11.41
71,Qaanaaq,0,92,77.48,-69.36,-21.96,8.75
72,Aykhal,68,56,65.95,111.51,-12.96,3.83
73,Pisco,75,94,-13.71,-76.2,69.8,6.93
74,Chuy,0,92,-33.69,-53.46,59.94,6.62
75,Susangerd,0,58,31.56,48.19,53.6,6.93
76,Jalu,92,28,29.03,21.55,56.89,6.85
77,Port Elizabeth,90,100,39.31,-74.98,44.76,12.33
78,Nanortalik,64,100,60.14,-45.24,20.35,18.7
79,Hambantota,75,55,6.12,81.12,89.6,10.29
80,Bambous Virieux,40,62,-20.34,57.76,87.8,17.22
81,Antofagasta,20,82,-23.65,-70.4,62.6,3.36
82,Baracoa,0,100,20.35,-74.5,73.44,3.71
83,Georgetown,88,99,6.8,-58.16,72.36,5.39
84,Shahpura,0,49,25.63,74.93,81.0,4.72
85,Mataura,76,79,-46.19,168.86,54.0,21.83
86,Muros,40,93,42.77,-9.06,43.74,3.36
87,Krasnoarmeysk,90,79,56.12,38.15,24.8,15.66
88,Albany,90,76,42.65,-73.75,18.0,5.82
89,Lagoa,20,76,37.14,-8.45,53.6,12.75
90,Shahabad,0,36,17.12,76.94,86.76,4.94
91,Marystown,76,100,47.17,-55.16,14.13,10.42
92,Cabrero,68,100,-37.04,-72.4,55.44,3.36
93,Vila Franca do Campo,75,87,37.72,-25.43,51.8,4.7
94,Abnub,0,66,27.27,31.15,48.2,4.7
95,Touros,80,91,-5.2,-35.46,79.39,8.63
96,Kosa,64,77,59.94,54.99,12.87,3.94
97,Kodiak,1,55,39.95,-94.76,7.63,3.71
98,Marabba,0,34,12.35,32.18,78.31,9.75
99,Young,0,93,-32.7,-57.63,58.06,6.62
100,Hammerfest,80,53,70.66,23.68,26.6,26.4
101,Fairbanks,90,77,64.84,-147.72,-3.43,2.71
102,Mackay,90,92,53.65,-115.58,6.8,2.24
103,Aqtobe,90,92,50.28,57.21,17.6,4.47
104,Acapulco,90,88,16.86,-99.88,77.0,3.36
105,Sistranda,40,100,63.73,8.83,32.0,8.05
106,Vilyuysk,80,75,63.75,121.63,-11.79,7.74
107,Provideniya,76,100,64.42,-173.23,13.6,6.51
108,Mecca,0,50,21.43,39.83,80.29,2.15
109,Kennett,90,79,36.24,-90.06,26.42,19.46
110,Lompoc,1,93,34.64,-120.46,51.31,3.36
111,Gobabis,0,24,-22.45,18.97,88.66,12.88
112,Bilma,0,31,18.69,12.92,71.1,4.94
113,Severo-Kurilsk,76,100,50.68,156.12,31.95,7.63
114,Cherskiy,20,58,68.75,161.3,-32.94,2.59
115,Dikson,76,97,73.51,80.55,6.04,7.18
116,Homer,1,76,59.64,-151.54,17.04,3.36
117,Namatanai,92,100,-3.66,152.44,78.48,11.21
118,Christchurch,8,37,-43.53,172.64,68.0,10.29
119,Kampot,20,66,10.62,104.18,85.12,2.24
120,Hamilton,40,72,32.3,-64.78,66.2,9.17
121,Tessalit,0,23,20.2,1.01,52.11,8.63
122,Muriti,75,88,-1.99,32.93,69.8,11.41
123,Antanifotsy,20,70,-19.66,47.32,75.43,4.38
124,Klaksvik,36,98,62.23,-6.59,37.4,17.22
125,Victoria,75,79,5.28,115.24,84.2,11.41
126,At-Bashi,12,79,41.17,75.81,23.58,2.93
127,Havelock,20,84,34.88,-76.9,64.99,18.34
128,Ndjole,92,90,-0.18,10.76,79.2,4.16
129,Cukai,75,74,4.25,103.42,86.99,11.41
130,Gizo,0,54,31.8,34.94,57.2,1.12
131,Rumoi,75,73,43.93,141.67,26.6,9.17
132,Mareeba,40,74,-16.99,145.42,82.4,13.87
133,Fortuna,20,100,38.18,-1.13,44.73,4.7
134,Xichang,48,24,27.88,102.25,53.1,2.37
135,Thompson,5,65,55.74,-97.86,-34.61,2.24
136,Elizabeth City,75,95,36.3,-76.22,59.99,9.17
137,Castro,90,93,-42.48,-73.76,53.6,3.38
138,Coquimbo,0,93,-29.95,-71.34,57.2,8.05
139,Paamiut,24,100,61.99,-49.67,23.22,13.78
140,Merke,20,90,42.87,73.19,31.6,1.7
141,Komsomolskiy,68,93,67.55,63.78,14.58,10.2
142,Sungaipenuh,36,79,-2.08,101.38,75.06,1.36
143,Iquitos,0,94,-3.75,-73.25,75.2,1.12
144,Atuona,64,100,-9.8,-139.03,80.82,16.24
145,Kampong Thum,0,37,12.71,104.89,94.41,7.74
146,Dingle,64,70,11.0,122.67,81.36,16.8
147,Saint George,20,93,39.45,22.34,41.7,4.7
148,Xingtai,0,28,37.07,114.49,39.51,2.71
149,Shubarkuduk,88,93,49.15,56.49,24.4,7.18
150,Souillac,32,100,45.6,-0.6,41.0,3.36
151,Ancud,90,93,-41.87,-73.83,53.6,3.71
152,Kudahuvadhoo,0,100,2.67,72.89,81.45,11.99
153,Upernavik,48,100,72.79,-56.15,-7.47,12.88
154,Ossora,88,95,59.24,163.07,30.51,24.18
155,Fairview,90,92,40.81,-74.0,34.74,16.11
156,Vostok,44,69,46.45,135.83,-2.79,4.27
157,Dzaoudzi,48,66,-12.79,45.27,87.8,12.75
158,Kavieng,88,100,-2.57,150.8,77.85,7.74
159,Nouadhibou,0,76,20.93,-17.03,55.4,12.75
160,Aranos,0,6,-24.14,19.11,90.27,9.42
161,Garden City,90,100,40.73,-73.63,35.22,16.11
162,Dubbo,76,51,-32.25,148.6,86.0,20.8
163,Nadym,0,70,65.53,72.51,-10.08,3.71
164,State College,90,93,40.79,-77.86,32.67,5.82
165,Ust-Nera,12,0,64.57,143.24,-59.67,1.92
166,Cape Town,0,49,-33.93,18.42,69.8,5.82
167,Beisfjord,56,92,68.38,17.6,19.4,10.29
168,Lodja,48,83,-3.52,23.6,82.81,3.15
169,Taoudenni,0,25,22.68,-3.98,51.76,2.93
170,Zihuatanejo,68,100,17.64,-101.55,76.15,1.36
171,Cilegon,20,70,-6.02,106.05,86.0,10.29
172,Grand-Lahou,36,95,5.24,-5.0,79.3,3.94
173,Buraydah,20,66,26.33,43.97,51.8,9.17
174,Port Hardy,75,93,50.7,-127.42,35.6,4.7
175,Kruisfontein,8,70,-34.0,24.73,68.58,10.09
176,Alexandria,90,69,31.31,-92.44,34.3,5.82
177,Riyadh,5,34,24.63,46.72,51.8,3.36
178,Tuscaloosa,90,66,33.21,-87.57,34.68,19.46
179,Geraldton,5,66,49.72,-86.95,-31.01,2.24
180,Avarua,75,83,-21.21,-159.78,80.6,4.7
181,Saint-Pierre,88,87,48.95,4.24,33.85,4.7
182,Santa Maria,80,95,-29.69,-53.81,63.64,9.19
183,Salalah,0,36,17.01,54.1,78.8,20.8
184,Biak,68,83,-0.91,122.88,83.8,3.04
185,Dzhankoy,24,100,45.71,34.39,31.41,10.98
186,Gorontalo,88,95,0.54,123.06,76.86,1.36
187,Zhezkazgan,90,79,47.8,67.71,24.8,13.42
188,Shimoda,20,54,34.7,138.93,54.99,17.22
189,Guerrero Negro,0,72,27.97,-114.04,49.41,3.94
190,Merauke,56,91,-8.49,140.4,82.54,6.96
191,Berlevag,76,100,70.86,29.09,23.13,11.77
192,Suwannaphum,20,31,15.61,103.81,91.4,6.93
193,Cidreira,100,100,-30.17,-50.22,68.76,8.97
194,Tezu,32,48,27.93,96.16,61.66,1.7
195,Mar del Plata,0,40,-46.43,-67.52,67.6,17.47
196,Progreso,0,82,-34.68,-56.22,60.8,6.62
197,Aklavik,90,76,68.22,-135.01,-5.81,2.24
198,Namibe,75,78,-15.19,12.15,77.0,1.92
199,Llanes,88,98,43.42,-4.75,37.71,3.6
200,Nisia Floresta,40,78,-6.09,-35.21,78.8,6.93
201,Hay River,75,77,60.82,-115.79,-2.21,10.29
202,Pangnirtung,20,37,66.15,-65.72,-25.29,3.04
203,Husavik,0,0,50.56,-96.99,-40.68,3.15
204,Inirida,88,98,3.87,-67.92,74.07,1.14
205,Poronaysk,44,98,49.22,143.1,-0.99,2.71
206,Molina,36,82,-35.11,-71.28,59.0,3.36
207,Bethel,90,92,60.79,-161.76,10.09,4.7
208,Kununurra,0,70,-15.77,128.74,86.0,3.36
209,Kondinskoye,76,90,59.65,67.41,21.7,3.6
210,Baghdad,0,57,33.3,44.38,48.2,5.82
211,Chokurdakh,36,82,70.62,147.9,-38.88,3.15
212,Raudeberg,0,68,61.99,5.14,30.2,14.99
213,Cayenne,80,88,4.94,-52.33,77.0,12.75
214,Moose Factory,1,66,51.26,-80.61,-32.81,4.7
215,Uglovskoye,56,77,51.36,80.19,29.07,9.19
216,Sola,20,83,62.78,29.36,-14.81,3.36
217,Hasaki,20,53,35.73,140.83,52.92,9.17
218,Broken Hill,48,16,-31.97,141.45,86.0,16.11
219,Wielun,32,87,51.22,18.57,23.13,3.6
220,Champerico,92,75,16.38,-93.6,68.76,12.55
221,La Asuncion,92,93,-1.64,-78.74,47.26,2.93
222,Itamaraca,75,83,-7.75,-34.83,78.62,9.17
223,Oytal,88,94,42.91,73.27,39.6,18.7
224,Belaya Gora,8,0,68.54,146.19,-52.65,2.93
225,Wukari,0,58,7.87,9.78,87.85,10.87
226,Nouakchott,0,42,18.08,-15.98,48.2,6.93
227,Pangai,92,100,-19.8,-174.35,76.5,11.21
228,Caravelas,0,100,-17.73,-39.27,81.36,16.02
229,Khasan,24,79,42.43,130.64,18.63,15.01
230,Saldanha,0,87,41.42,-6.55,29.88,3.71
231,Vao,68,85,59.1,26.19,23.85,14.12
232,Krivosheino,76,87,57.34,83.93,15.04,8.08
233,Shenjiamen,20,99,29.96,122.3,47.16,23.73
234,Sorland,64,100,67.67,12.69,34.65,18.81
235,Gravdal,75,100,59.79,5.78,32.86,13.87
236,Phalaborwa,24,53,-23.95,31.14,71.6,17.22
237,Banjar,56,88,-7.37,108.54,79.3,2.71
238,Novoagansk,64,81,61.94,76.66,18.1,3.6
239,Barra do Corda,32,98,-5.5,-45.25,73.62,3.49
240,Norman Wells,75,74,65.28,-126.83,-23.81,2.24
241,Jaru,92,96,-10.43,-62.48,73.26,2.82
242,Maniitsoq,76,100,65.42,-52.9,13.41,5.61
243,Isfana,90,93,39.84,69.53,37.4,17.9
244,Sarkand,0,84,45.41,79.91,27.27,2.82
245,Ouadda,0,27,8.07,22.4,88.11,11.99
246,Pangkalanbuun,68,96,-2.68,111.62,80.29,4.27
247,Kargasok,80,78,59.06,80.87,20.44,4.38
248,Talcahuano,90,87,-36.72,-73.12,57.2,9.17
249,Rawson,0,40,-43.3,-65.11,63.64,5.39
250,Fare,76,100,-16.7,-151.02,82.26,8.86
251,Bolshaya Sosnova,24,84,57.67,54.6,10.9,5.73
252,Nemuro,75,67,43.32,145.57,23.0,1.12
253,Santa Rosa,0,65,-36.62,-64.29,61.39,14.45
254,Hohhot,0,32,40.81,111.65,24.8,11.18
255,Katsuura,75,62,33.93,134.5,49.82,20.8
256,Port Hedland,8,50,-20.31,118.58,98.6,18.34
257,Nizwa,0,40,22.93,57.53,74.25,4.72
258,Almaznyy,0,79,48.03,40.04,23.0,2.24
259,Koslan,56,71,63.46,48.9,8.74,3.71
260,Sao Felix do Xingu,68,97,-6.64,-51.99,71.46,2.15
261,La Ronge,40,73,55.1,-105.3,-29.21,6.93
262,Porosozero,24,70,62.72,32.71,-2.16,2.59
263,Dondukovskaya,92,100,44.88,40.36,34.02,6.29
264,Balkhash,0,85,46.84,74.98,17.6,20.13
265,Nome,1,74,30.04,-94.42,35.06,13.87
266,Marsh Harbour,0,100,26.54,-77.06,75.06,19.82
267,Mirador,32,97,-6.37,-44.36,71.37,6.73
268,Matagami,0,56,9.67,8.4,68.0,5.82
269,Umm Kaddadah,0,42,13.6,26.69,67.41,10.98
270,Lavrentiya,64,100,65.58,-170.99,3.25,10.42
271,Longyearbyen,20,70,78.22,15.63,-2.21,5.82
272,Mgandu,92,95,-5.96,34.11,70.11,7.74
273,Sao Filipe,8,100,14.9,-24.5,69.75,19.15
274,Khatanga,64,75,71.98,102.47,-11.7,8.75
275,Santa Cruz,1,83,36.97,-122.03,53.49,2.15
276,Boromo,0,26,11.74,-2.93,68.31,11.32
277,Jiexiu,0,30,37.02,111.92,32.95,3.94
278,Zhanaozen,32,93,43.35,52.85,33.49,7.96
279,Washougal,90,96,45.58,-122.35,44.19,2.37
280,Bonga,32,51,7.26,36.25,74.7,1.25
281,Marawi,100,100,8.0,124.29,69.12,2.15
282,Vanavara,48,76,60.35,102.28,12.51,5.73
283,Lima,90,88,-12.06,-77.04,69.8,4.7
284,Verkhoyansk,36,0,67.55,133.39,-54.36,2.48
285,Nueve de Julio,0,70,-31.67,-68.39,63.64,7.63
286,Bridlington,68,92,54.08,-0.19,33.17,6.85
287,Takoradi,8,98,4.89,-1.75,82.81,5.5
288,Concepcion,0,86,9.56,-73.66,73.18,2.26
289,Shitanjing,0,50,39.23,106.34,21.06,2.15
290,Marshfield,90,91,42.09,-70.71,32.83,9.17
291,Robertsport,32,100,6.75,-11.37,79.75,3.27
292,Ebnat-Kappel,75,92,47.26,9.12,23.9,3.38
293,Akdepe,90,86,42.05,59.39,30.2,13.87
294,Vila Velha,40,94,-3.71,-38.6,77.0,3.36
295,Birjand,20,37,32.86,59.22,37.4,9.17
296,Airai,92,85,-8.93,125.41,75.6,1.92
297,Salinopolis,88,100,-0.61,-47.36,77.85,7.74
298,Baykit,80,84,61.68,96.39,12.96,6.62
299,Tilichiki,80,86,60.47,166.1,27.36,12.21
300,Vaasa,36,85,63.1,21.62,17.6,8.05
301,Finnsnes,20,83,69.23,17.98,5.45,16.11
302,Labuhan,80,78,-2.54,115.51,82.98,2.04
303,Gunjur,0,34,13.18,-16.76,64.4,11.41
304,Dasoguz,90,92,41.84,59.97,30.2,16.11
305,Sambava,100,100,-14.27,50.17,78.31,8.19
306,Kloulklubed,90,88,7.04,134.26,80.6,6.93
307,Honningsvag,80,100,70.98,25.97,26.1,9.86
308,Clyde River,90,75,70.47,-68.59,-18.41,4.7
309,Port Macquarie,40,74,-31.43,152.91,80.6,10.29
310,Sivani,0,34,22.09,79.55,84.06,3.94
311,Carnarvon,0,15,-30.97,22.13,75.16,9.64
312,Port Lincoln,20,72,-34.72,135.86,72.19,11.99
313,Troitsko-Pechorsk,68,70,62.71,56.19,12.96,5.28
314,Mahanoro,24,64,-19.9,48.8,88.39,6.4
315,Urusha,32,69,54.05,122.9,-10.89,2.59
316,Bonthe,0,83,7.53,-12.5,80.73,2.93
317,San Patricio,92,94,-26.98,-56.83,68.31,3.38
318,Half Moon Bay,1,86,37.46,-122.43,55.53,4.83
319,Alta Floresta,80,95,-9.87,-56.08,74.16,2.04
320,Angoche,92,97,-16.23,39.91,83.44,3.71
321,Isangel,88,100,-19.55,169.27,78.04,21.5
322,Avera,90,80,33.19,-82.53,56.12,5.82
323,Kahului,1,84,20.89,-156.47,68.02,6.93
324,Zhigansk,68,62,66.77,123.37,-21.33,10.87
325,Quelimane,92,94,-17.88,36.89,79.3,13.78
326,Bilibino,36,68,68.06,166.44,-36.54,2.37
327,Mount Pleasant,1,69,33.16,-94.97,28.4,9.17
328,Mount Gambier,0,53,-37.83,140.78,75.2,17.22
329,Ahtopol,90,100,42.1,27.94,44.6,6.93
330,Myre,0,92,62.25,17.37,12.2,5.82
331,Abu Samrah,8,96,35.3,37.18,42.76,4.72
332,Saint-Gabriel,90,76,46.3,-73.38,-4.01,12.75
333,Hami,0,67,42.84,93.51,32.4,4.38
334,Richards Bay,92,86,-28.77,32.06,68.76,10.65
335,Itapetininga,8,94,-23.59,-48.05,70.3,9.19
336,Keansburg,90,95,40.44,-74.13,36.54,8.05
337,Hanna,80,79,51.64,-111.93,12.06,2.93
338,Plettenberg Bay,20,93,-34.05,23.37,67.23,10.98
339,Atar,0,56,20.52,-13.05,47.7,4.61
340,Rio Gallegos,75,61,-51.62,-69.22,48.2,2.24
341,Kalat,92,90,29.03,66.58,42.85,4.61
342,Okhotsk,88,100,59.36,143.24,-3.42,10.2
343,Male,76,92,50.74,33.7,19.99,9.42
344,Namtsy,24,57,62.72,129.66,-41.81,4.47
345,Kristiansund,0,86,63.12,7.73,25.45,11.41
346,Aliwal North,0,39,-30.69,26.71,73.18,3.71
347,Henties Bay,0,90,-22.12,14.28,68.14,9.19
348,Buala,80,98,-8.15,159.59,81.0,2.37
349,Sechura,0,93,-5.56,-80.82,69.75,6.85
350,Timmins,40,72,48.48,-81.33,-38.21,2.24
351,Lincoln Village,1,75,33.83,-118.22,58.62,4.7
352,Ipixuna,40,100,-1.76,-48.8,75.2,4.7
353,Nhulunbuy,75,74,-12.18,136.78,86.0,11.41
354,Sitka,0,72,37.17,-99.65,13.32,4.61
355,Mae Ramat,20,33,16.98,98.52,89.6,2.24
356,Nikolayevka,24,87,47.31,38.84,21.79,3.71
357,Keuruu,64,92,62.26,24.71,6.76,9.17
358,Podosinovets,88,71,60.28,47.06,14.58,7.85
359,Gazojak,92,85,41.19,61.4,32.05,14.56
360,Oparino,88,69,59.85,48.28,15.21,6.73
361,Shelburne,90,70,44.08,-80.2,-0.53,21.92
362,Buenaventura,88,97,3.89,-77.07,67.69,1.92
363,Bronkhorstspruit,0,37,-25.81,28.74,73.54,13.33
364,Hojslev,92,92,56.59,9.14,28.4,4.7
365,Kimbe,76,100,-5.56,150.15,79.66,4.61
366,Senno,75,74,57.76,27.95,28.4,17.9
367,Yar-Sale,0,87,66.83,70.83,-6.3,5.39
368,Clarksburg,90,86,39.28,-80.34,47.57,8.41
369,Tynda,32,53,55.15,124.74,-19.89,2.59
370,Sao Joao do Piaui,64,80,-8.36,-42.25,73.98,9.31
371,Mehamn,88,94,71.03,27.85,24.21,9.98
372,Guarapuava,88,94,-25.4,-51.46,64.44,2.48
373,Saint-Leu,0,59,-21.15,55.28,88.66,11.41
374,Anshun,88,84,26.25,105.93,41.85,10.76
375,Esna,92,100,45.2,27.57,36.63,3.6
376,Umm Lajj,0,64,25.02,37.27,74.52,3.27
377,Gazli,92,70,40.13,63.45,36.1,15.01
378,Narsaq,20,52,60.91,-46.05,17.6,27.51
379,Torbay,75,72,47.66,-52.73,14.0,16.11
380,Halstenbek,36,92,53.63,9.85,24.15,4.7
381,Tagusao,88,82,9.19,117.81,81.36,9.19
382,Kabinda,76,83,-6.14,24.49,80.56,5.61
383,Tateyama,75,87,36.66,137.31,51.8,12.75
384,Quatre Cocos,40,62,-20.21,57.76,87.8,17.22
385,Sibolga,92,100,1.74,98.78,69.04,1.7
386,Baherden,0,74,38.44,57.43,44.29,8.63
387,Teya,75,69,21.05,-89.07,73.4,13.87
388,Halifax,90,65,44.65,-63.58,8.6,9.17
389,Ust-Ilimsk,92,82,57.96,102.73,20.8,4.83
390,Kupang,40,79,-10.16,123.6,86.0,5.82
391,Sucua,92,97,-2.46,-78.17,62.82,3.71
392,Ewa Beach,1,78,21.32,-158.01,73.38,4.7
393,Houston,1,55,29.76,-95.37,37.89,12.75
394,Kysyl-Syr,76,38,63.9,122.77,-25.56,10.31
395,Alice Springs,0,9,-23.7,133.88,107.6,18.34
396,Tchibanga,76,86,-2.92,11.0,80.56,3.27
397,Tocopilla,68,100,-22.09,-70.2,61.39,0.36
398,Anadyr,75,76,64.73,177.51,-11.21,13.42
399,Hofn,0,100,64.25,-15.21,34.83,15.01
400,Gualaquiza,80,99,-3.4,-78.58,60.21,0.92
401,Dhaka,0,40,26.67,85.17,76.69,5.17
402,Mamallapuram,40,54,12.63,80.17,84.2,9.17
403,Tomatlan,32,84,19.93,-105.25,61.66,1.81
404,Teguldet,76,81,57.31,88.17,21.51,9.08
405,Piacabucu,92,89,-10.41,-36.43,76.69,5.95
406,Scottsbluff,1,75,41.87,-103.67,37.8,4.7
407,Dzerzhinsk,20,78,56.24,43.46,14.0,6.71
408,Salina Cruz,80,58,16.18,-95.2,71.37,24.74
409,Lakes Entrance,0,90,-37.88,147.99,68.31,3.94
410,Kamyshevatskaya,24,100,46.41,37.96,27.9,12.21
411,Gillette,75,63,44.29,-105.5,35.96,6.93
412,Kaseda,75,61,31.42,130.32,48.2,14.99
413,Tete,75,100,-16.16,33.59,75.2,8.05
414,Hutchinson,1,83,38.06,-97.93,15.55,4.7
415,Coihueco,8,100,-36.63,-71.83,53.6,3.36
416,Aketi,36,60,2.74,23.78,83.89,3.15
417,Nabire,88,92,-3.36,135.5,73.71,0.58
418,Abha,40,55,18.22,42.5,65.39,12.75
419,Tecolutilla,88,88,18.28,-93.32,69.75,19.6
420,Wajima,75,93,37.4,136.9,37.4,12.75
421,Alofi,92,94,-19.06,-169.92,80.6,4.7
422,Manyana,90,73,-35.26,150.51,73.4,11.41
423,Cabo San Lucas,0,100,22.89,-109.91,71.01,1.59
424,Ambon,75,93,47.55,-2.56,38.5,6.93
425,Atherton,90,86,53.52,-2.49,38.26,1.12
426,Iskateley,68,76,67.68,53.15,7.56,3.15
427,Adolfo Lopez Mateos,0,79,26.8,-109.39,53.82,1.03
428,Ankang,68,46,32.73,108.99,38.35,2.04
429,Yatou,75,100,3.63,9.81,78.8,3.36
430,Lagoa Santa,0,72,-19.64,-43.9,69.89,5.82
431,Qaqortoq,56,52,60.72,-46.03,17.6,27.51
432,Tjome,0,85,59.11,10.39,18.25,3.36
433,Flinders,90,73,-34.58,150.85,73.4,11.41
434,Norsup,92,100,-16.07,167.38,78.85,8.63
435,Kalga,48,72,50.92,118.9,10.81,4.72
436,Tari,36,27,12.41,4.49,74.97,10.65
437,Khandyga,0,0,62.65,135.58,-51.39,1.92
438,Sisimiut,36,100,66.94,-53.67,-18.63,1.48
439,Mattru,0,79,7.62,-11.83,79.02,3.71
440,Longuenesse,0,85,50.74,2.25,27.54,5.82
441,Ostrovnoy,88,77,68.05,39.51,-0.9,3.15
442,Inhambane,75,94,-23.87,35.38,75.2,28.86
443,Shimoni,0,96,-4.65,39.38,83.44,13.0
444,Marfino,90,79,56.07,37.56,24.35,15.66
445,Petropavlovsk-Kamchatskiy,40,59,53.05,158.65,35.6,24.61
446,Kirkland Lake,1,73,48.15,-80.03,-32.81,8.05
447,Kanniyakumari,24,100,8.08,77.57,81.64,20.94
448,Comodoro Rivadavia,0,35,-45.87,-67.48,73.4,18.34
449,Seymchan,92,52,62.93,152.39,-31.59,3.04
450,Nioro,0,35,13.79,-15.05,66.16,13.33
451,Bodden Town,36,99,19.28,-81.25,80.37,7.07
452,Limoeiro do Norte,92,95,-5.15,-38.1,73.35,4.72
453,Badarganj,0,50,25.68,89.06,78.31,4.61
454,Nadiad,0,25,22.69,72.87,85.08,2.24
455,Mazagao,90,100,-0.12,-51.29,77.0,2.24
456,Chumikan,0,56,54.72,135.31,-11.7,6.85
457,Neuquen,0,60,-38.95,-68.06,71.6,2.24
458,Cairns,40,74,-16.92,145.77,82.4,13.87
459,Haines Junction,44,81,60.75,-137.51,-7.47,2.37
460,Talnakh,64,79,69.49,88.39,-1.53,8.97
461,Trinidad,0,93,-33.52,-56.9,55.26,6.51
462,Lucapa,68,91,-8.42,20.74,77.58,4.94
463,Mehran,0,52,33.12,46.17,41.0,4.7
464,Nerchinskiy Zavod,32,74,51.31,119.61,6.12,3.15
465,San Quintin,80,61,17.54,120.52,80.91,1.92
466,Emilio Carranza,8,67,19.97,-96.61,63.0,14.0
467,Tuatapere,92,100,-46.13,167.69,53.29,22.84
468,Ayagoz,8,84,47.96,80.43,19.26,8.52
469,Kedrovyy,0,81,56.17,91.82,32.0,8.95
470,Cartagena,20,100,37.63,-1.0,43.68,2.24
471,Yerbogachen,64,65,61.28,108.01,12.25,8.75
472,Kattivakkam,40,54,13.22,80.32,84.2,9.17
473,Peniche,20,76,39.36,-9.38,51.8,11.41
