,City
257,belaya gora
258,aflu
259,wukari
260,nouakchott
261,pangai
262,caravelas
263,khasan
264,saldanha
265,vao
266,krivosheino
267,shenjiamen
268,sorland
269,gravdal
270,phalaborwa
271,banjar
272,novoagansk
273,barra do corda
274,norman wells
275,jaru
276,maniitsoq
277,isfana
278,sarkand
279,ouadda
280,pangkalanbuun
281,kargasok
282,toliary
283,talcahuano
284,rawson
285,fare
286,bolshaya sosnova
287,nemuro
288,santa rosa
289,hohhot
290,katsuura
291,port hedland
292,nizwa
293,almaznyy
294,koslan
295,sao felix do xingu
296,la ronge
297,porosozero
298,dondukovskaya
299,balkhash
300,nome
301,marsh harbour
302,mirador
303,matagami
304,umm kaddadah
305,lavrentiya
306,longyearbyen
307,kamenskoye
308,mgandu
309,bairiki
310,sao filipe
311,khatanga
312,santa cruz
313,boromo
314,jiexiu
315,urumqi
316,zhanaozen
317,washougal
318,sentyabrskiy
319,bonga
320,marawi
321,halalo
322,vanavara
323,lima
324,verkhoyansk
325,nueve de julio
326,bridlington
327,takoradi
328,concepcion
329,mancio lima
330,shitanjing
331,marshfield
332,robertsport
333,ebnat-kappel
334,akdepe
335,vila velha
336,birjand
337,airai
338,salinopolis
339,baykit
340,tilichiki
341,vaasa
342,finnsnes
343,labuhan
344,gunjur
345,dasoguz
346,sambava
347,kloulklubed
348,honningsvag
349,clyde river
350,port macquarie
351,seoni
352,carnarvon
353,port lincoln
354,troitsko-pechorsk
355,mahanoro
356,urusha
357,bonthe
358,san patricio
359,half moon bay
360,alta floresta
361,angoche
362,isangel
363,severnyy
364,avera
365,kahului
366,wazzan
367,zhigansk
368,quelimane
369,bilibino
370,mount pleasant
371,mount gambier
372,ahtopol
373,myre
374,abu samrah
375,kapoeta
376,saint-gabriel
377,hami
378,richards bay
379,itapetininga
380,keansburg
381,hanna
382,plettenberg bay
383,sansai
384,atar
385,rio gallegos
386,kedarnath
387,kalat
388,okhotsk
389,male
390,fort saint john
391,cockburn harbour
392,saleaula
393,namtsy
394,kristiansund
395,aliwal north
396,turtkul
397,henties bay
398,buala
399,sechura
400,longlac
401,camana
402,timmins
403,lincoln village
404,eldikan
405,ipixuna
406,ondorhaan
407,nhulunbuy
408,sitka
409,mae ramat
410,nikolayevka
411,keuruu
412,podosinovets
413,gazojak
414,oparino
415,shelburne
416,buenaventura
417,bronkhorstspruit
418,hojslev
419,kimbe
420,senno
421,yar-sale
422,clarksburg
423,tynda
424,sao joao do piaui
425,mehamn
426,guarapuava
427,kushmurun
428,saint-leu
429,anshun
430,esna
431,umm lajj
432,gazli
433,narsaq
434,torbay
435,halstenbek
436,tagusao
437,akyab
438,kabinda
439,tateyama
440,quatre cocos
441,sibolga
442,baherden
443,teya
444,halifax
445,ust-ilimsk
446,kupang
447,sucua
448,ewa beach
449,houston
450,kysyl-syr
451,ngukurr
452,alice springs
453,tchibanga
454,tocopilla
455,anadyr
456,hofn
457,gualaquiza
458,dhaka
459,mamallapuram
460,tomatlan
461,teguldet
462,piacabucu
463,scottsbluff
464,dzerzhinsk
465,salina cruz
466,lakes entrance
467,kamyshevatskaya
468,gillette
469,kaseda
470,tete
471,hutchinson
472,coihueco
473,stoyba
474,aketi
475,nabire
476,gnjilane
477,abha
478,tecolutilla
479,wajima
480,alofi
481,manyana
482,cabo san lucas
483,tuggurt
484,ambon
485,atherton
486,iskateley
487,adolfo lopez mateos
488,ankang
489,yatou
490,lagoa santa
491,qaqortoq
492,tjome
493,stornoway
494,flinders
495,norsup
496,kalga
497,tari
498,khandyga
499,sisimiut
500,mattru
501,longuenesse
502,ostrovnoy
503,inhambane
504,shimoni
505,mutsamudu
506,marfino
507,petropavlovsk-kamchatskiy
508,kirkland lake
509,kanniyakumari
510,burica
511,comodoro rivadavia
512,seymchan
513,nioro
514,bodden town
515,limoeiro do norte
516,badarganj
517,afgoye
518,nadiad
519,kashi
520,mazagao
521,chumikan
522,bolungarvik
523,neuquen
524,cairns
525,haines junction
526,talnakh
527,trinidad
528,lucapa
529,mehran
530,nerchinskiy zavod
531,san quintin
532,emilio carranza
533,tuatapere
534,ayagoz
535,kedrovyy
536,cartagena
537,yerbogachen
538,kattivakkam
539,peniche
540,gannan
541,zykovo
542,porto torres
543,masterton
544,santarem
545,aksay
546,puri
547,sabzevar
548,macomb
549,mananjary
550,lorengau
551,omboue
552,sidi ali
553,warqla
554,helsinki
555,port-gentil
556,tomohon
557,port blair
558,pozoblanco
559,watrous
560,abonnema
561,mayya
562,suzu
563,saint simons
564,atambua
565,fort nelson
566,ketchikan
567,makakilo city
568,kieta
569,kizhinga
570,camacupa
571,dwarka
572,glyadyanskoye
573,saryshagan
574,bardiyah
575,deputatskiy
576,grand gaube
577,tandalti
578,tautira
579,codrington
580,khonuu
581,kavaratti
582,kastamonu
583,saint anthony
584,varkaus
585,kirakira
586,alotau
587,sterling
588,kijaba
589,los llanos de aridane
590,nyurba
591,yendi
592,keighley
593,exu
594,kijang
595,shingu
596,jawhar
597,palabuhanratu
